s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,174177,-Lokii—,AF - CARLA JP,0,"3,5","26,91"," R$  30,41 ","0,00%","11,51%","88,49%",PLO6,-310
23/02/2026,117286,português,AF - CARLA JP,0,0,"82,53"," R$  82,53 ","0,00%","0,00%","100,00%",PLO6,-451
23/02/2026,193990,pix193990,AF - CARLA JP,"16,52","2,9",0," R$  19,42 ","85,07%","14,93%","0,00%",NLH,80
23/02/2026,194291,pix194291,AF - CARLA JP,"0,29","3,3","0,09"," R$  3,68 ","7,88%","89,67%","2,45%",MTT,-40
23/02/2026,188529,trempix69,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,127033,pix127033,AF - CARLA JP,0,"6,8",0," R$  6,80 ","0,00%","100,00%","0,00%",MTT,-68
23/02/2026,176197,kespadas,AF - CARLA JP,0,"0,25",0," R$  0,25 ","0,00%","100,00%","0,00%",MTT,-3
23/02/2026,191452,doadordopixpoker,AF - CARLA JP,"19,26",1,"0,5"," R$  20,76 ","92,77%","4,82%","2,41%",NLH,-100
23/02/2026,147985,Shakira,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,156583,Wilian_Camilo,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,173536,CabeloAA01,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193845,thiagocpr2005,AF - CARLA JP,"24,11","4,5",0," R$  28,61 ","84,27%","15,73%","0,00%",NLH,-110
23/02/2026,129556,Bala de Prata,AF - CARLA JP,0,"5,2",0," R$  5,20 ","0,00%","100,00%","0,00%",MTT,-65
23/02/2026,102698,TOFOLD,AF - CARLA JP,0,8,0," R$  8,00 ","0,00%","100,00%","0,00%",MTT,-80
23/02/2026,178638,GustavoZemoleza,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,-25
23/02/2026,191677,bileut,AF - CARLA JP,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,188742,JALVESPOKER,AF - TRAF. BRUNO F.,0,"101,86","0,05"," R$  101,91 ","0,00%","99,95%","0,05%",MTT,-480
23/02/2026,192441,Guuuh1000,AF - TRAF. BRUNO F.,"0,07","1,5","9,97"," R$  11,54 ","0,61%","13,00%","86,40%",PLO6,-55
23/02/2026,189242,LekoTR,AF - TRAF. BRUNO F.,"12,26","5,3","264,18"," R$  281,74 ","4,35%","1,88%","93,77%",PLO6,317
23/02/2026,192934,pix192934,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193379,pix193379,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,192778,n@ndooo,AF - TRAF. BRUNO F.,0,0,"668,49"," R$  668,49 ","0,00%","0,00%","100,00%",PLO6,-4.489
23/02/2026,192961,pix192961,AF - TRAF. BRUNO F.,0,0,"97,41"," R$  97,41 ","0,00%","0,00%","100,00%",PLO6,-150
23/02/2026,187633,GustavOrsi,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189972,pix189972,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193548,pix193548,AF - TRAF. BRUNO F.,0,"2,5",0," R$  2,50 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,193712,pix193712,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,191653,pix191653,AF - TRAF. BRUNO F.,"18,07",2,0," R$  20,07 ","90,03%","9,97%","0,00%",NLH,-61
23/02/2026,192311,pix192311,AF - TRAF. BRUNO F.,0,0,"1,67"," R$  1,67 ","0,00%","0,00%","100,00%",PLO6,-94
23/02/2026,194194,LordVerasPoker,AF - TRAF. BRUNO F.,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,193347,pix193347,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194197,pix194197,AF - TRAF. BRUNO F.,0,"1,2",0," R$  1,20 ","0,00%","100,00%","0,00%",MTT,-2
23/02/2026,194208,pix194208,AF - TRAF. BRUNO F.,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,172458,radar55,AF - TRAF. BRUNO F.,"2,37",0,"3,95"," R$  6,32 ","37,50%","0,00%","62,50%",PLO6,-45
23/02/2026,194228,pix194228,AF - TRAF. BRUNO F.,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,194246,pix194246,AF - TRAF. BRUNO F.,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,191574,pix191574,AF - TRAF. BRUNO F.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,130726,Douglas Pablo,AF - TRAF. BRUNO F.,"0,12",0,"2,32"," R$  2,44 ","4,92%","0,00%","95,08%",PLO6,-6
23/02/2026,193763,smdkbz,AF - TRAF. BRUNO F.,0,"2,4",0," R$  2,40 ","0,00%","100,00%","0,00%",MTT,-24
23/02/2026,193650,pix193650,AF - MATHEUS HENRIQU,"67,17","26,15","1126,7"," R$  1.220,02 ","5,51%","2,14%","92,35%",PLO6,-514
23/02/2026,160621,Débora Araújo,AF - MATHEUS HENRIQU,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,111265,henry.22,AF - MATHEUS HENRIQU,0,0,"2,12"," R$  2,12 ","0,00%","0,00%","100,00%",PLO6,-33
23/02/2026,161346,Sukuna,AF - MATHEUS HENRIQU,"0,75",0,0," R$  0,75 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,171678,ArmandoBestafera,AF - MATHEUS HENRIQU,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,175284,TETEUZADA,AF - MATHEUS HENRIQU,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,100198,MarcelinhoParaiba,AF - PAÇOCA,0,86,"5087,11"," R$  5.173,11 ","0,00%","1,66%","98,34%",PLO6,337
23/02/2026,148862,Suave,AF - PAÇOCA,0,"78,1","1534,02"," R$  1.612,12 ","0,00%","4,84%","95,16%",PLO6,2.165
23/02/2026,100116,Fazendeiro,AF - PAÇOCA,0,0,"18255,57"," R$  18.255,57 ","0,00%","0,00%","100,00%",PLO6,16.257
23/02/2026,105346,KIRE,AF - PAÇOCA,0,6,"1231,99"," R$  1.237,99 ","0,00%","0,48%","99,52%",PLO6,5.264
23/02/2026,100227,pix1648639,AF - PAÇOCA,0,60,0," R$  60,00 ","0,00%","100,00%","0,00%",MTT,6.805
23/02/2026,100262,Cremosinho,AF - VICTOR MAIA,0,1,"485,75"," R$  486,75 ","0,00%","0,21%","99,79%",PLO6,-1.950
23/02/2026,116298,pix230663,AF - PEUEUA,0,0,"82,2"," R$  82,20 ","0,00%","0,00%","100,00%",PLO6,-613
23/02/2026,129313,Falcão FTS,AF - PEUEUA,"17,56",0,"154,16"," R$  171,72 ","10,23%","0,00%","89,77%",PLO6,-123
23/02/2026,131193,Baiba,AF - PEUEUA,0,"36,7",0," R$  36,70 ","0,00%","100,00%","0,00%",MTT,-397
23/02/2026,133599,Netto,AF - PEUEUA,0,"152,05","3,47"," R$  155,52 ","0,00%","97,77%","2,23%",MTT,-1.138
23/02/2026,116289,Duuuuur,AF - PEUEUA,0,"328,45",0," R$  328,45 ","0,00%","100,00%","0,00%",MTT,1.888
23/02/2026,126650,sgtpastel,AF - PEUEUA,0,"35,8",0," R$  35,80 ","0,00%","100,00%","0,00%",MTT,-48
23/02/2026,116300,Meulindo,AF - PEUEUA,0,0,"1030,38"," R$  1.030,38 ","0,00%","0,00%","100,00%",PLO6,-9.500
23/02/2026,143015,lROCHAl,AF - PEUEUA,0,6,0," R$  6,00 ","0,00%","100,00%","0,00%",MTT,-60
23/02/2026,176636,viniboydopix,AF - PEUEUA,"3,06",0,0," R$  3,06 ","100,00%","0,00%","0,00%",NLH,22
23/02/2026,159209,Bacaninha,AF - PEUEUA,0,0,"111,83"," R$  111,83 ","0,00%","0,00%","100,00%",PLO6,428
23/02/2026,130350,bozenga,AF -JR. CALAZANS,0,"13,5","527,5"," R$  541,00 ","0,00%","2,50%","97,50%",PLO6,-1.406
23/02/2026,158854,Luaa,AF -JR. CALAZANS,0,0,"1388,6"," R$  1.388,60 ","0,00%","0,00%","100,00%",PLO6,5.989
23/02/2026,123163,pix123163,AF -JR. CALAZANS,0,"6,5","286,25"," R$  292,75 ","0,00%","2,22%","97,78%",PLO6,562
23/02/2026,131291,panti,AF -JR. CALAZANS,0,15,"2383,78"," R$  2.398,78 ","0,00%","0,63%","99,37%",PLO6,-1.256
23/02/2026,135727,D. Luffy,AF -JR. CALAZANS,0,"16,1","95,31"," R$  111,41 ","0,00%","14,45%","85,55%",PLO6,147
23/02/2026,129018,Alfredão,AF -JR. CALAZANS,0,0,"1552,59"," R$  1.552,59 ","0,00%","0,00%","100,00%",PLO6,-111
23/02/2026,124340,Bab$,AF -JR. CALAZANS,0,12,"49,59"," R$  61,59 ","0,00%","19,48%","80,52%",PLO6,-615
23/02/2026,183037,Elfbar,AF -JR. CALAZANS,0,109,"678,9"," R$  787,90 ","0,00%","13,83%","86,17%",PLO6,17
23/02/2026,136575,Blef_Nuts,AF -JR. CALAZANS,0,1,"71,96"," R$  72,96 ","0,00%","1,37%","98,63%",PLO6,170
23/02/2026,137862,runeruner,AF -JR. CALAZANS,"186,53",9,0," R$  195,53 ","95,40%","4,60%","0,00%",NLH,176
23/02/2026,155861,Rickzinho,AF -JR. CALAZANS,0,0,"146,95"," R$  146,95 ","0,00%","0,00%","100,00%",PLO6,-553
23/02/2026,131603,barboza,AF -JR. CALAZANS,0,3,"1363,4"," R$  1.366,40 ","0,00%","0,22%","99,78%",PLO6,-1.077
23/02/2026,138993,joelma,AF -JR. CALAZANS,0,0,"190,65"," R$  190,65 ","0,00%","0,00%","100,00%",PLO6,1.135
23/02/2026,149182,Alan Jatobá,AF -JR. CALAZANS,0,"27,31",0," R$  27,31 ","0,00%","100,00%","0,00%",MTT,529
23/02/2026,166183,Durcall,AF -JR. CALAZANS,0,"115,2",0," R$  115,20 ","0,00%","100,00%","0,00%",MTT,-610
23/02/2026,193386,eltikito,AF -JR. CALAZANS,0,0,"711,61"," R$  711,61 ","0,00%","0,00%","100,00%",PLO6,-1.075
23/02/2026,188987,Apple,AF -JR. CALAZANS,0,0,"56,27"," R$  56,27 ","0,00%","0,00%","100,00%",PLO6,-270
23/02/2026,183056,Profeta10,AF -JR. CALAZANS,0,0,"49,73"," R$  49,73 ","0,00%","0,00%","100,00%",PLO6,-672
23/02/2026,139674,22énutsPB,AF - CLUB DO POKER,0,25,"553,3"," R$  578,30 ","0,00%","4,32%","95,68%",PLO6,-1.192
23/02/2026,147903,PanteradeSá,AF - CLUB DO POKER,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,149092,NF_01,AF - FULL HOUSE A.,0,10,"1927,07"," R$  1.937,07 ","0,00%","0,52%","99,48%",PLO6,905
23/02/2026,173237,neto carneiro,AF - FULL HOUSE A.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,140124,Thiago Amós,AF - FULL HOUSE A.,0,20,0," R$  20,00 ","0,00%","100,00%","0,00%",MTT,-200
23/02/2026,149163,vouparadejogar,AF - UREA POKER,0,20,"303,98"," R$  323,98 ","0,00%","6,17%","93,83%",PLO6,-1.910
23/02/2026,153908,MCTZ,AF - BOIN,0,0,"25,42"," R$  25,42 ","0,00%","0,00%","100,00%",PLO6,-349
23/02/2026,139947,bebetao,AF - BOIN,0,0,"369,51"," R$  369,51 ","0,00%","0,00%","100,00%",PLO6,-3.000
23/02/2026,167393,Tudo_Na_Telaaa,AF - NILDINHO,0,0,"1256,89"," R$  1.256,89 ","0,00%","0,00%","100,00%",PLO6,892
23/02/2026,155915,JVCROSS,AF - NILDINHO,0,6,"325,7"," R$  331,70 ","0,00%","1,81%","98,19%",PLO6,2.320
23/02/2026,158497,Vanessa_FS,AF - NILDINHO,"75,62","47,15","164,9"," R$  287,67 ","26,29%","16,39%","57,32%",PLO6,-64
23/02/2026,165229,E-Medeiros,AF - NILDINHO,0,"2,45","0,08"," R$  2,53 ","0,00%","96,84%","3,16%",MTT,-36
23/02/2026,167892,francimar,AF - NILDINHO,"12,91",0,0," R$  12,91 ","100,00%","0,00%","0,00%",NLH,-94
23/02/2026,157681,Boiruna,AF - NILDINHO,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,134889,Júnior Picolé,AF - NILDINHO,"0,29",70,"391,09"," R$  461,38 ","0,06%","15,17%","84,77%",PLO6,369
23/02/2026,152327,Alminha,AF - NILDINHO,0,0,"5,28"," R$  5,28 ","0,00%","0,00%","100,00%",PLO6,-15
23/02/2026,172365,PauloHeitor09,AF - MARKETING,0,0,"196,44"," R$  196,44 ","0,00%","0,00%","100,00%",PLO6,-1.602
23/02/2026,169786,Aluci,AF - MARKETING,0,"20,86","1,24"," R$  22,10 ","0,00%","94,39%","5,61%",MTT,-98
23/02/2026,173220,pix173220,AF - MARKETING,0,1,"35,37"," R$  36,37 ","0,00%","2,75%","97,25%",PLO6,-426
23/02/2026,171907,zeus?,AF - MARKETING,"2,91",1,"140,35"," R$  144,26 ","2,02%","0,69%","97,29%",PLO6,-213
23/02/2026,173241,QKceta,AF - MARKETING,0,"6,2","46,33"," R$  52,53 ","0,00%","11,80%","88,20%",PLO6,-258
23/02/2026,174738,the best,AF - MARKETING,0,0,"394,66"," R$  394,66 ","0,00%","0,00%","100,00%",PLO6,490
23/02/2026,147451,pix147451,AF - MARKETING,"73,05",0,0," R$  73,05 ","100,00%","0,00%","0,00%",NLH,329
23/02/2026,156346,kxa28,AF - MARKETING,"2,86","78,32",0," R$  81,18 ","3,52%","96,48%","0,00%",MTT,334
23/02/2026,144330,????,AF - MARKETING,"11,17",0,"35,51"," R$  46,68 ","23,93%","0,00%","76,07%",PLO6,-461
23/02/2026,162931,Kiko moreira,AF - MARKETING,"8,28","20,2",0," R$  28,48 ","29,07%","70,93%","0,00%",MTT,-192
23/02/2026,186297,Joda,AF - MARKETING,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,102930,pix102930,AF - MARKETING,0,"178,95",0," R$  178,95 ","0,00%","100,00%","0,00%",MTT,1.624
23/02/2026,156209,calvin88,AF - MARKETING,0,0,"2177,58"," R$  2.177,58 ","0,00%","0,00%","100,00%",PLO6,2.605
23/02/2026,172040,layon12,AF - MARKETING,"6,57",0,"118,88"," R$  125,45 ","5,24%","0,00%","94,76%",PLO6,-134
23/02/2026,139803,notsei,AF - MARKETING,"1,22",0,"141,63"," R$  142,85 ","0,85%","0,00%","99,15%",PLO6,-924
23/02/2026,131753,vempropapi,AF - MARKETING,0,"62,9",0," R$  62,90 ","0,00%","100,00%","0,00%",MTT,557
23/02/2026,175876,RICK SANCHEZ,AF - MARKETING,"1,79",0,"1,69"," R$  3,48 ","51,44%","0,00%","48,56%",NLH,-71
23/02/2026,170934,Monstro sagrado,AF - MARKETING,"1,88","25,25","0,36"," R$  27,49 ","6,84%","91,85%","1,31%",MTT,39
23/02/2026,165508,paga pipoqueiro,AF - MARKETING,0,0,"97,97"," R$  97,97 ","0,00%","0,00%","100,00%",PLO6,553
23/02/2026,156809,AL ?,AF - MARKETING,"1,15",0,"11,07"," R$  12,22 ","9,41%","0,00%","90,59%",PLO6,-39
23/02/2026,179178,akazin27,AF - MARKETING,"4,26","23,3","72,71"," R$  100,27 ","4,25%","23,24%","72,51%",PLO6,-318
23/02/2026,157052,winnikes,AF - MARKETING,"4,75",11,0," R$  15,75 ","30,16%","69,84%","0,00%",MTT,118
23/02/2026,144889,NaMalda.,AF - MARKETING,0,7,0," R$  7,00 ","0,00%","100,00%","0,00%",MTT,57
23/02/2026,100174,Sizak,AF - MARKETING,0,"0,4",0," R$  0,40 ","0,00%","100,00%","0,00%",MTT,-4
23/02/2026,102483,Ronier V,AF - MARKETING,0,0,"5,52"," R$  5,52 ","0,00%","0,00%","100,00%",PLO6,2
23/02/2026,157957,Diogo posture,AF - MARKETING,"2,87","1,9","1,37"," R$  6,14 ","46,74%","30,94%","22,31%",NLH,-25
23/02/2026,174022,S.P.Clube,AF - MARKETING,0,"6,6",0," R$  6,60 ","0,00%","100,00%","0,00%",MTT,-66
23/02/2026,168163,Micael Rafles,AF - MARKETING,0,"2,7",0," R$  2,70 ","0,00%","100,00%","0,00%",MTT,20
23/02/2026,157560,cachorro,AF - MARKETING,"10,63",0,"53,21"," R$  63,84 ","16,65%","0,00%","83,35%",PLO6,132
23/02/2026,124675,tsousa,AF - MARKETING,0,13,"42,65"," R$  55,65 ","0,00%","23,36%","76,64%",PLO6,-181
23/02/2026,153229,bencinha,AF - MARKETING,0,0,"11,94"," R$  11,94 ","0,00%","0,00%","100,00%",PLO6,-98
23/02/2026,100537,Zebrano,AF - MARKETING,0,0,"309,12"," R$  309,12 ","0,00%","0,00%","100,00%",PLO6,2.088
23/02/2026,133124,I.Oliveira,AF - MARKETING,0,0,"12,39"," R$  12,39 ","0,00%","0,00%","100,00%",PLO6,-38
23/02/2026,167763,pix167763,AF - MARKETING,0,"3,9",0," R$  3,90 ","0,00%","100,00%","0,00%",MTT,-39
23/02/2026,141690,jjuniorlira,AF - MARKETING,0,"14,4",0," R$  14,40 ","0,00%","100,00%","0,00%",MTT,-144
23/02/2026,170969,lin rabei 3x,AF - MARKETING,"2,04","1,9","208,3"," R$  212,24 ","0,96%","0,90%","98,14%",PLO6,-169
23/02/2026,100240,BlefinPB,AF - MARKETING,0,"5,9","48,23"," R$  54,13 ","0,00%","10,90%","89,10%",PLO6,-285
23/02/2026,132148,star??,AF - MARKETING,0,0,"281,23"," R$  281,23 ","0,00%","0,00%","100,00%",PLO6,-645
23/02/2026,173808,Gbiel,AF - MARKETING,0,"7,1","33,14"," R$  40,24 ","0,00%","17,64%","82,36%",PLO6,208
23/02/2026,102264,biu77,AF - MARKETING,"4,33","4,2",0," R$  8,53 ","50,76%","49,24%","0,00%",NLH,-28
23/02/2026,167530,pfson,AF - MARKETING,0,"16,2",0," R$  16,20 ","0,00%","100,00%","0,00%",MTT,-162
23/02/2026,155342,dudubzr,AF - MARKETING,0,0,"462,13"," R$  462,13 ","0,00%","0,00%","100,00%",PLO6,-177
23/02/2026,144175,DexterM,AF - MARKETING,0,0,"3,95"," R$  3,95 ","0,00%","0,00%","100,00%",PLO6,-25
23/02/2026,170576,cavalinho??,AF - MARKETING,0,0,"1,73"," R$  1,73 ","0,00%","0,00%","100,00%",PLO6,-8
23/02/2026,162200,pretao05,AF - MARKETING,0,0,"15,75"," R$  15,75 ","0,00%","0,00%","100,00%",PLO6,-160
23/02/2026,183893,dudu bala tensa,AF - MARKETING,0,0,"1044,52"," R$  1.044,52 ","0,00%","0,00%","100,00%",PLO6,-1.523
23/02/2026,178010,BruxOscar,AF - MARKETING,0,0,"37,3"," R$  37,30 ","0,00%","0,00%","100,00%",PLO6,-23
23/02/2026,100709,DITOX,AF - MARKETING,0,"79,6","36,35"," R$  115,95 ","0,00%","68,65%","31,35%",MTT,1.003
23/02/2026,179579,Linopraxedes,AF - MARKETING,0,10,0," R$  10,00 ","0,00%","100,00%","0,00%",MTT,-100
23/02/2026,172857,julioAA,AF - MARKETING,0,0,"0,17"," R$  0,17 ","0,00%","0,00%","100,00%",PLO6,-4
23/02/2026,174752,luiz190bpm,AF - MARKETING,0,"2,7",0," R$  2,70 ","0,00%","100,00%","0,00%",MTT,121
23/02/2026,130270,Picademel,AF - MARKETING,0,0,"0,73"," R$  0,73 ","0,00%","0,00%","100,00%",PLO6,-5
23/02/2026,174963,Haycar,AF - MARKETING,0,0,"10,65"," R$  10,65 ","0,00%","0,00%","100,00%",PLO6,63
23/02/2026,170615,Marberoadv,AF - MARKETING,0,"4,2","8,58"," R$  12,78 ","0,00%","32,86%","67,14%",PLO6,-182
23/02/2026,162122,K.Luna,AF - MARKETING,0,"15,3",0," R$  15,30 ","0,00%","100,00%","0,00%",MTT,137
23/02/2026,129552,MeuMAAlvado,AF - MARKETING,0,32,0," R$  32,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,175198,SOATEREZA,AF - MARKETING,0,32,0," R$  32,00 ","0,00%","100,00%","0,00%",MTT,421
23/02/2026,145442,bayma,AF - MARKETING,0,0,"2,83"," R$  2,83 ","0,00%","0,00%","100,00%",PLO6,-13
23/02/2026,176175,nandopkleste,AF - MARKETING,0,0,"5,19"," R$  5,19 ","0,00%","0,00%","100,00%",PLO6,-100
23/02/2026,171183,véio do pocker,AF - MARKETING,0,0,"14,92"," R$  14,92 ","0,00%","0,00%","100,00%",PLO6,82
23/02/2026,116027,Marinho07,AF - MARKETING,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,186000,zecaurubuuu,AF - RAPHAEL A.,0,1,"197,37"," R$  198,37 ","0,00%","0,50%","99,50%",PLO6,295
23/02/2026,100220,Martin Kabrhel,AF - RAPHAEL A.,0,"11,8","149,86"," R$  161,66 ","0,00%","7,30%","92,70%",PLO6,443
23/02/2026,183282,ricardin,AF - RAPHAEL A.,0,"0,5","39,93"," R$  40,43 ","0,00%","1,24%","98,76%",PLO6,-250
23/02/2026,194024,sabourenergtico,AF - RAPHAEL A.,0,0,"159,92"," R$  159,92 ","0,00%","0,00%","100,00%",PLO6,-780
23/02/2026,193309,LLL3,AF - RAPHAEL A.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,145480,Douglas gba,AF - RAPHAEL A.,0,0,"57,71"," R$  57,71 ","0,00%","0,00%","100,00%",PLO6,-398
23/02/2026,102379,pix102379,AF - RAPHAEL A.,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,150635,Verd_84,AF - RPSOP,"89,48",0,0," R$  89,48 ","100,00%","0,00%","0,00%",NLH,-300
23/02/2026,144512,Zé Costa,AF - RPSOP,0,"16,5","62,44"," R$  78,94 ","0,00%","20,90%","79,10%",PLO6,-204
23/02/2026,148198,Israel_1971,AF - RPSOP,0,"8,2",0," R$  8,20 ","0,00%","100,00%","0,00%",MTT,-78
23/02/2026,152675,Semacordo,AF - RPSOP,0,"5,5","29,02"," R$  34,52 ","0,00%","15,93%","84,07%",PLO6,-45
23/02/2026,180233,Therok,AF - RPSOP,0,24,0," R$  24,00 ","0,00%","100,00%","0,00%",MTT,-240
23/02/2026,192998,pix192998,AF - BRENO BIGNARD,"55,11",0,0," R$  55,11 ","100,00%","0,00%","0,00%",NLH,-128
23/02/2026,171202,jhony@AK,AF - BRENO BIGNARD,"26,53","0,9","192,56"," R$  219,99 ","12,06%","0,41%","87,53%",PLO6,163
23/02/2026,188467,TheNerdXama,AF - BRENO BIGNARD,"5,58","193,2","14,31"," R$  213,09 ","2,62%","90,67%","6,72%",MTT,-294
23/02/2026,178930,Beto Barbosa,AF - BRENO BIGNARD,"0,75",0,0," R$  0,75 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,160617,pix160617,AF - BRENO BIGNARD,"349,07",10,0," R$  359,07 ","97,22%","2,78%","0,00%",NLH,478
23/02/2026,190344,55071717,AF - BRENO BIGNARD,"175,73",0,"24,16"," R$  199,89 ","87,91%","0,00%","12,09%",NLH,-487
23/02/2026,162860,pix162860,AF - BRENO BIGNARD,0,0,"13,14"," R$  13,14 ","0,00%","0,00%","100,00%",PLO6,-27
23/02/2026,111575,TH4N0S,AF - BRENO BIGNARD,"220,92",9,"668,04"," R$  897,96 ","24,60%","1,00%","74,40%",PLO6,-2.221
23/02/2026,149811,bezerro,AF - BRENO BIGNARD,"132,16",0,"0,11"," R$  132,27 ","99,92%","0,00%","0,08%",NLH,-188
23/02/2026,180983,pix180983,AF - BRENO BIGNARD,"184,63",0,0," R$  184,63 ","100,00%","0,00%","0,00%",NLH,847
23/02/2026,192687,Zé Chico,AF - BRENO BIGNARD,"14,68",0,0," R$  14,68 ","100,00%","0,00%","0,00%",NLH,-100
23/02/2026,182718,PROTOCOLO,AF - BRENO BIGNARD,"79,65","11,4","39,3"," R$  130,35 ","61,10%","8,75%","30,15%",NLH,-1.158
23/02/2026,151380,Brazinha,AF - BRENO BIGNARD,"183,76",0,"28,38"," R$  212,14 ","86,62%","0,00%","13,38%",NLH,-126
23/02/2026,153990,OSCAR PIASTRI,AF - BRENO BIGNARD,"13,21",0,0," R$  13,21 ","100,00%","0,00%","0,00%",NLH,-148
23/02/2026,164244,neguinho do gás,AF - BRENO BIGNARD,"35,91",0,0," R$  35,91 ","100,00%","0,00%","0,00%",NLH,-90
23/02/2026,179880,raymene,AF - BRENO BIGNARD,"7,07","2,4",0," R$  9,47 ","74,66%","25,34%","0,00%",NLH,-88
23/02/2026,180225,perigo?,AF - BRENO BIGNARD,"9,55",0,"9,22"," R$  18,77 ","50,88%","0,00%","49,12%",NLH,46
23/02/2026,158387,085 L J,AF - BRENO BIGNARD,0,0,"8,44"," R$  8,44 ","0,00%","0,00%","100,00%",PLO6,58
23/02/2026,178308,nicolauuu,AF - BRENO BIGNARD,"10,07",0,"6,39"," R$  16,46 ","61,18%","0,00%","38,82%",NLH,-35
23/02/2026,170951,Guiaraujoshow,AF - BRENO BIGNARD,"0,28",1,0," R$  1,28 ","21,88%","78,13%","0,00%",MTT,-4
23/02/2026,183865,QuebradorDeCajueiro,AF - BRENO BIGNARD,0,0,"28,85"," R$  28,85 ","0,00%","0,00%","100,00%",PLO6,-2
23/02/2026,190294,harrypotter,AF - BRENO BIGNARD,0,"45,3",0," R$  45,30 ","0,00%","100,00%","0,00%",MTT,-20
23/02/2026,170702,Depay,AF - BRENO BIGNARD,0,"0,8",0," R$  0,80 ","0,00%","100,00%","0,00%",MTT,-8
23/02/2026,166398,Lula Brasil,AF - BRENO BIGNARD,"5,64",0,0," R$  5,64 ","100,00%","0,00%","0,00%",NLH,101
23/02/2026,182598,allanzinho91,AF - BRENO BIGNARD,"172,13","1,1","0,42"," R$  173,65 ","99,12%","0,63%","0,24%",NLH,-266
23/02/2026,182244,TiiBilu1010,AF - BRENO BIGNARD,"215,93","34,5","20,28"," R$  270,71 ","79,76%","12,74%","7,49%",NLH,247
23/02/2026,188140,Maniacodopoker,AF - BRENO BIGNARD,"245,29",0,"213,38"," R$  458,67 ","53,48%","0,00%","46,52%",NLH,-976
23/02/2026,162179,pedro.,AF - BRENO BIGNARD,"6,04",0,"8,74"," R$  14,78 ","40,87%","0,00%","59,13%",PLO6,-40
23/02/2026,186150,paulada,AF - BRENO BIGNARD,0,"7,9","201,51"," R$  209,41 ","0,00%","3,77%","96,23%",PLO6,-449
23/02/2026,162155,moraz,AF - BRENO BIGNARD,"30,61",0,0," R$  30,61 ","100,00%","0,00%","0,00%",NLH,112
23/02/2026,178765,mello,AF - BRENO BIGNARD,0,0,"10,83"," R$  10,83 ","0,00%","0,00%","100,00%",PLO6,-4
23/02/2026,135743,piotr,AF - BRENO BIGNARD,"93,9",0,0," R$  93,90 ","100,00%","0,00%","0,00%",NLH,-46
23/02/2026,194236,INIMIG0,AF - BRENO BIGNARD,"17,73",0,0," R$  17,73 ","100,00%","0,00%","0,00%",NLH,-54
23/02/2026,174130,pix00001,AF - BRENO BIGNARD,"22,59",0,0," R$  22,59 ","100,00%","0,00%","0,00%",NLH,30
23/02/2026,182340,RaphaBassUZL,AF - BRENO BIGNARD,"0,65",0,0," R$  0,65 ","100,00%","0,00%","0,00%",NLH,-2
23/02/2026,185268,Henrique poker,AF - BRENO BIGNARD,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,-2
